Essay 213: Similarity score: 0.549
Essay 214: Similarity score: 0.275
Essay 214: Similarity score: 0.569
Essay 215: Similarity score: 0.412
Essay 216: Similarity score: 0.357
Essay 217: Similarity score: 0.303
Essay 218: Similarity score: 0.213
Essay 219: Similarity score: 0.454
Essay 220: Similarity score: 0.325
Essay 221: Similarity score: 0.474
Essay 222: Similarity score: 0.281
Essay 223: Similarity score: 0.33
Essay 224: Similarity score: 0.31
Essay 225: Similarity score: 0.442
Essay 226: Similarity score: 0.3
Essay 227: Similarity score: 0.256
Essay 228: Similarity score: 0.347
Essay 229: Similarity score: 0.226
Essay 230: Similarity score: 0.48
Essay 231: Similarity score: 0.352
Essay 232: Similarity score: 0.265
Essay 233: Similarity score: 0.322
Essay 234: Similarity score: 0.279
Essay 235: Similarity score: 0.596
